,ID,KEGG,Done,Comments
0,PPBNGS,R00036, , 
1,FOCYTCCOR,R00082, , 
2,ATPM,R00086, , 
3,NTD7,R00183, , 
4,NADS1,R00189, , 
5,PDH,R00209, , 
6,ME1,R00214, , 
7,ACLS,R00226, , 
8,ICDHhr,R00267, , 
9,H202OR,R00276, , 
10,ACYP_2,R00317, , 
11,NTP3,R00335, , 
12,PPGPPDP,R00336, , 
13,PPCK,R00341, , 
14,PC,R00344, , 
15,CS,R00351, , 
16,ASPO1,R00357, , 
17,GLYOR,R00365, , 
18,GLYO1,R00366, , 
19,DCTPT,R00377, , 
20,DTTPT,R00378, , 
21,ALAD_L,R00396, , 
22,GTPCII2,R00425, , 
23,PRPUT,R00438, , 
24,PRPGT,R00439, , 
25,PRPCT,R00440, , 
26,GTPT,R00441, , 
27,CTPT,R00442, , 
28,UTPT,R00443, , 
29,DAPDC,R00451, , 
30,ASPK,R00480, , 
31,ASPO6,R00481, , 
32,ASNS2,R00483, , 
33,ASNN,R00485, , 
34,ASP1DC,R00489, , 
35,NTD4,R00511, , 
36,FDH,R00519, , 
37,CTPS1,R00571, , 
38,CTPS2,R00573, , 
39,CBPS,R00575, , 
40,HCYSMT,R00650, , 
41,AHSERL,R00651, , 
42,METGL,R00654, , 
43,MMSAD3,R00705, , 
44,MSAOR,R00706, , 
45,ACCOAC,R00742, , 
46,HOPNTAL,R00750, , 
47,CYSDS,R00782, , 
48,FOCYTCNOR,R00783, , 
49,CYSAT,R00895, , 
50,ACYSAT,R00896, , 
51,CYSS,R00897, , 
52,PPCOAOm,R00924, , 
53,PRPNTELIG,R00925, , 
54,PAMPT,R00926, , 
55,FTHFD,R00944, , 
56,GHMT,R00945, , 
57,PGCM,R00959, , 
58,NTD2,R00963, , 
59,OMPDC,R00965, , 
60,ANS,R00986, , 
61,CYSTGL,R01001, , 
62,ALKP,R01010, , 
63,MGSA,R01016, , 
64,ADSS,R01135, , 
65,ALAALAr,R01150, , 
66,HDH,R01158, , 
67,CYSTHI,R01285, , 
68,CBL,R01286, , 
69,AHHST,R01287, , 
70,AACOAT,R01357, , 
71,PPNDH,R01373, , 
72,ASPCT,R01397, , 
73,ACPh,R01515, , 
74,GND,R01528, , 
75,FBA3,R01621, , 
76,CHORS,R01714, , 
77,NAMNPP,R01724, , 
78,PPND,R01728, , 
79,GLYOX,R01736, , 
80,ARABINANHY,R01762, , 
81,GLUKA,R01786, , 
82,STARCHHY,R01791, , 
83,CDPDAGPT,R01800, , 
84,MAN6PI,R01819, , 
85,AMYLOSEGT,R01821, , 
86,DDPA,R01826, , 
87,PPCOAC,R01859, , 
88,PUNP5,R01863, , 
89,APAPTm,R01920, , 
90,NTD1,R02102, , 
91,STARCHHY2,R02108, , 
92,NP1,R02295, , 
