RHEA_ID	DIRECTION	MASTER_ID	ID
10003	BI	10000	R02938
10007	BI	10004	R04010
10011	BI	10008	R07180
10015	BI	10012	R07170
10019	BI	10016	R02381
10023	BI	10020	R02315
10027	BI	10024	R03938
10031	BI	10028	R00279
10035	BI	10032	R04341
10039	BI	10036	R02877
10043	BI	10040	R00188
10047	BI	10044	R02229
10051	BI	10048	R00651
10059	BI	10056	R03030
10063	BI	10060	R02481
10067	BI	10064	R01225
10071	BI	10068	R12036
10075	BI	10072	R07244
10079	BI	10076	R01100
10083	BI	10080	R05308
10087	BI	10084	R01631
10091	BI	10088	R00809
10095	BI	10092	R02751
10099	BI	10096	R08940
10103	BI	10100	R02115
10107	BI	10104	R03009
10111	BI	10108	R04697
10115	BI	10112	R01290
10119	BI	10116	R01528
10127	BI	10124	R07201
10131	BI	10128	R06948
10135	BI	10132	R01422
10139	BI	10136	R00013
10143	BI	10140	R02684
10147	BI	10144	R03060
10151	BI	10148	R03800
10155	BI	10152	R00150
10159	BI	10156	R04708
10163	BI	10160	R07145
10167	BI	10164	R00658
10171	BI	10168	R05818
10175	BI	10172	R00048
10179	BI	10176	R11336
10183	BI	10180	R00941
10187	BI	10184	R02991
10191	BI	10188	R01978
10199	BI	10196	R04031
10203	BI	10200	R01689
10207	BI	10204	R01588
10211	BI	10208	R03862
10215	BI	10212	R02274
10219	BI	10216	R04358
10223	BI	10220	R02918
10227	BI	10224	R00174
10231	BI	10228	R01325
10235	BI	10232	R04346
10239	BI	10236	R03710
10243	BI	10240	R01403
10247	BI	10244	R01364
10251	BI	10248	R02100
10255	BI	10252	R07274
10267	BI	10264	R01602
10271	BI	10268	R03277
10275	BI	10272	R02240
10279	BI	10276	R08964
10283	BI	10280	R07921
10287	BI	10284	R01091
10291	BI	10288	R03772
10295	BI	10292	R02058
10299	BI	10296	R01063
10303	BI	10300	R01061
10307	BI	10304	R04864
10315	BI	10312	R05148
10319	BI	10316	R01412
10323	BI	10320	R04374
10327	BI	10324	R03585
10331	BI	10328	R03584
10335	BI	10332	R01319
10339	BI	10336	R01324
10343	BI	10340	R06523
10347	BI	10344	R03109
10351	BI	10348	R00251
10355	BI	10352	R04727
10359	BI	10356	R04309
10363	BI	10360	R03692
10367	BI	10364	R03859
10371	BI	10368	R04438
10375	BI	10372	R02450
10383	BI	10380	R01870
10391	BI	10388	R00431
10395	BI	10392	R03054
10399	BI	10396	R01258
10403	BI	10400	R00576
10411	BI	10408	R05330
10415	BI	10412	R01054
10419	BI	10416	R05598
10423	BI	10420	R05652
10427	BI	10424	R01424
10431	BI	10428	R01596
10435	BI	10432	R01649
10439	BI	10436	R11565
10443	BI	10440	R01519
10447	BI	10444	R08787
10451	BI	10448	R07367
10455	BI	10452	R11814
10459	BI	10456	R01556
10463	BI	10460	R04565
10467	BI	10464	R02333
10471	BI	10468	R01621
10475	BI	10472	R01355
10483	BI	10480	R03266
10487	BI	10484	R03579
10491	BI	10488	R02301
10495	BI	10492	R06871
10499	BI	10496	R04719
10503	BI	10500	R01180
10511	BI	10508	R01641
10515	BI	10512	R00360
10519	BI	10516	R05315
10523	BI	10520	R04469
10527	BI	10524	R00272
10531	BI	10528	R04702
10535	BI	10532	R02722
10539	BI	10536	R03518
10543	BI	10540	R03504
10547	BI	10544	R00861
10551	BI	10548	R00559
10555	BI	10552	R00302
10559	BI	10556	R05465
10563	BI	10560	R02280
10567	BI	10564	R01144
10571	BI	10568	R03589
10575	BI	10572	R03031
10579	BI	10576	R03375
10583	BI	10580	R04241
10587	BI	10584	R06568
10595	BI	10592	R07369
10599	BI	10596	R02584
10603	BI	10600	R02266
10607	BI	10604	R01312
10611	BI	10608	R02253
10615	BI	10612	R06016
10619	BI	10616	R06532
10623	BI	10620	R02506
10627	BI	10624	R00149
10631	BI	10628	R07285
10635	BI	10632	R02455
10639	BI	10636	R02456
10643	BI	10640	R03959
10647	BI	10644	R04277
10651	BI	10648	R03281
10655	BI	10652	R02039
10659	BI	10656	R01883
10663	BI	10660	R05175
10667	BI	10664	R03945
10671	BI	10668	R03771
10675	BI	10672	R08765
10679	BI	10676	R04001
10683	BI	10680	R01255
10687	BI	10684	R02585
10691	BI	10688	R02228
10695	BI	10692	R07353
10703	BI	10700	R05784
10707	BI	10704	R03665
10711	BI	10708	R00954
10715	BI	10712	R00690
10719	BI	10716	R07324
10723	BI	10720	R03984
10727	BI	10724	R03398
10731	BI	10728	R03396
10735	BI	10732	R04036
10739	BI	10736	R00623
10743	BI	10740	R00624
10747	BI	10744	R01633
10751	BI	10748	R00132
10755	BI	10752	R09590
10759	BI	10756	R00206
10763	BI	10760	R00362
10767	BI	10764	R05723
10771	BI	10768	R07366
10775	BI	10772	R00839
10779	BI	10776	R03339
10783	BI	10780	R03337
10787	BI	10784	R10056
10791	BI	10788	R02658
10795	BI	10792	R04209
10799	BI	10796	R03712
10803	BI	10800	R02142
10807	BI	10804	R03925
10811	BI	10808	R08863
10815	BI	10812	R05049
10819	BI	10816	R04270
10823	BI	10820	R02318
10827	BI	10824	R00343
10831	BI	10828	R00982
10835	BI	10832	R07398
10839	BI	10836	R02417
10843	BI	10840	R01466
10847	BI	10844	R01713
10855	BI	10852	R08952
10859	BI	10856	R04322
10863	BI	10860	R03385
10867	BI	10864	R03386
10871	BI	10868	R02251
10875	BI	10872	R00546
10879	BI	10876	R01238
10883	BI	10880	R07918
10887	BI	10884	R03723
10891	BI	10888	R04453
10895	BI	10892	R04426
10899	BI	10896	R03624
10903	BI	10900	R03121
10907	BI	10904	R07479
10911	BI	10908	R07287
10915	BI	10912	R02473
10919	BI	10916	R07270
10927	BI	10924	R04576
10931	BI	10928	R06293
10935	BI	10932	R01954
10939	BI	10936	R07177
10943	BI	10940	R06120
10951	BI	10948	R01961
10955	BI	10952	R03965
10959	BI	10956	R02254
10963	BI	10960	R01450
10967	BI	10964	R01639
10971	BI	10968	R00394
10975	BI	10972	R03148
10979	BI	10976	R05157
10983	BI	10980	R00589
10987	BI	10984	R01447
10991	BI	10988	R00294
10995	BI	10992	R00465
10999	BI	10996	R04169
11003	BI	11000	R02190
11007	BI	11004	R00818
11015	BI	11012	R00682
11019	BI	11016	R02422
11023	BI	11020	R03433
11027	BI	11024	R00141
11031	BI	11028	R01326
11035	BI	11032	R04259
11043	BI	11040	R03457
11047	BI	11044	R02336
11051	BI	11048	R04722
11055	BI	11052	R02561
11059	BI	11056	R02562
11063	BI	11060	R03656
11067	BI	11064	R00762
11071	BI	11068	R04503
11075	BI	11072	R00825
11079	BI	11076	R00823
11083	BI	11080	R01569
11087	BI	11084	R01905
11091	BI	11088	R02504
11095	BI	11092	R00842
11099	BI	11096	R00844
11103	BI	11100	R00038
11107	BI	11104	R04436
11111	BI	11108	R02181
11115	BI	11112	R03037
11119	BI	11116	R03910
11123	BI	11120	R07315
11131	BI	11128	R01613
11135	BI	11132	R03845
11143	BI	11140	R01818
11147	BI	11144	R00889
11151	BI	11148	R00078
11155	BI	11152	R04570
11159	BI	11156	R01212
11163	BI	11160	R06977
11167	BI	11164	R02056
11171	BI	11168	R05305
11175	BI	11172	R00946
11179	BI	11176	R07264
11183	BI	11180	R03648
11187	BI	11184	R00905
11191	BI	11188	R00486
11195	BI	11192	R03830
11199	BI	11196	R04148
11207	BI	11204	R04582
11215	BI	11212	R02338
11219	BI	11216	R04267
11223	BI	11220	R03805
11227	BI	11224	R01150
11231	BI	11228	R03827
11235	BI	11232	R00507
11239	BI	11236	R01919
11243	BI	11240	R00616
11251	BI	11248	R05797
11255	BI	11252	R01485
11259	BI	11256	R05325
11263	BI	11260	R07172
11267	BI	11264	R07171
11271	BI	11268	R01874
11275	BI	11272	R10625
11279	BI	11276	R00083
11283	BI	11280	R01669
11287	BI	11284	R02969
11291	BI	11288	R04768
11295	BI	11292	R03736
11299	BI	11296	R00264
11303	BI	11300	R03497
11307	BI	11304	R00776
11311	BI	11308	R00742
11315	BI	11312	R05558
11319	BI	11316	R02827
11323	BI	11320	R01473
11327	BI	11324	R07267
11331	BI	11328	R01659
11335	BI	11332	R00435
11339	BI	11336	R04013
11343	BI	11340	R03178
11347	BI	11344	R02599
11355	BI	11352	R00315
11359	BI	11356	R00281
11363	BI	11360	R07225
11367	BI	11364	R00199
11371	BI	11368	R03476
11375	BI	11372	R00483
11379	BI	11376	R03860
11387	BI	11384	R03022
11391	BI	11388	R03203
11395	BI	11392	R03430
11399	BI	11396	R04235
11403	BI	11400	R12012
11407	BI	11404	R01385
11411	BI	11408	R01732
11415	BI	11412	R03503
11419	BI	11416	R00049
11423	BI	11420	R07373
11427	BI	11424	R04023
11431	BI	11428	R01522
11435	BI	11432	R06824
11439	BI	11436	R00081
11443	BI	11440	R07191
11447	BI	11444	R03517
11451	BI	11448	R03043
11455	BI	11452	R03556
11459	BI	11456	R05983
11463	BI	11460	R05804
11467	BI	11464	R01110
11471	BI	11468	R02200
11475	BI	11472	R01264
11479	BI	11476	R08658
11483	BI	11480	R01628
11487	BI	11484	R02161
11491	BI	11488	R02366
11495	BI	11492	R06530
11499	BI	11496	R03131
11503	BI	11500	R03350
11507	BI	11504	R03112
11511	BI	11508	R04073
11515	BI	11512	R03558
11519	BI	11516	R00407
11523	BI	11520	R02179
11527	BI	11524	R02609
11531	BI	11528	R05220
11535	BI	11532	R00366
11539	BI	11536	R08212
11543	BI	11540	R02651
11547	BI	11544	R03421
11551	BI	11548	R04490
11555	BI	11552	R04043
11559	BI	11556	R01921
11563	BI	11560	R00813
11567	BI	11564	R10832
11571	BI	11568	R01670
11575	BI	11572	R03978
11579	BI	11576	R00619
11583	BI	11580	R01802
11587	BI	11584	R00672
11591	BI	11588	R05151
11595	BI	11592	R11187
11599	BI	11596	R00965
11603	BI	11600	R00512
11607	BI	11604	R04484
11611	BI	11608	R07249
11615	BI	11612	R00248
11623	BI	11620	R02605
11627	BI	11624	R03796
11631	BI	11628	R00636
11635	BI	11632	R03599
11639	BI	11636	R04552
11643	BI	11640	R07351
11647	BI	11644	R07352
11651	BI	11648	R02178
11655	BI	11652	R01535
11659	BI	11656	R12056
11663	BI	11660	R03482
11667	BI	11664	R03468
11675	BI	11672	R01716
11679	BI	11676	R01079
11683	BI	11680	R01231
11687	BI	11684	R05756
11691	BI	11688	R03657
11695	BI	11692	R00112
11699	BI	11696	R05757
11703	BI	11700	R02210
11707	BI	11704	R05171
11711	BI	11708	R01130
11715	BI	11712	R07160
11719	BI	11716	R03804
11723	BI	11720	R03187
11727	BI	11724	R02021
11731	BI	11728	R02553
11735	BI	11732	R08922
11739	BI	11736	R02994
11743	BI	11740	R00115
11747	BI	11744	R00618
11751	BI	11748	R07247
11755	BI	11752	R02942
11759	BI	11756	R04562
11763	BI	11760	R04357
11767	BI	11764	R01589
11771	BI	11768	R01073
11775	BI	11772	R04285
11779	BI	11776	R03370
11783	BI	11780	R05927
11787	BI	11784	R07165
11791	BI	11788	R07164
11795	BI	11792	R07194
11799	BI	11796	R02373
11803	BI	11800	R00103
11807	BI	11804	R01486
11811	BI	11808	R02882
11815	BI	11812	R01851
11819	BI	11816	R00771
11823	BI	11820	R04074
11827	BI	11824	R01226
11831	BI	11828	R11786
11835	BI	11832	R04115
11839	BI	11836	R04532
11843	BI	11840	R01419
11847	BI	11844	R00212
11851	BI	11848	R07228
11855	BI	11852	R01402
11859	BI	11856	R05801
11863	BI	11860	R02626
11867	BI	11864	R02511
11871	BI	11868	R07144
11875	BI	11872	R03262
11879	BI	11876	R02580
11883	BI	11880	R03202
11887	BI	11884	R02839
11891	BI	11888	R00634
11895	BI	11892	R04714
11899	BI	11896	R04263
11903	BI	11900	R01934
11907	BI	11904	R02815
11911	BI	11908	R03781
11915	BI	11912	R04557
11919	BI	11916	R04556
11923	BI	11920	R04734
11927	BI	11924	R03486
11935	BI	11932	R01553
11939	BI	11936	R01614
11943	BI	11940	R00665
11951	BI	11948	R01301
11955	BI	11952	R01394
11959	BI	11956	R01460
11963	BI	11960	R04475
11967	BI	11964	R07597
11971	BI	11968	R03441
11979	BI	11976	R04060
11983	BI	11980	R02742
11987	BI	11984	R02212
11991	BI	11988	R03411
11995	BI	11992	R02204
11999	BI	11996	R03964
12003	BI	12000	R00134
12007	BI	12004	R06048
12015	BI	12012	R02134
12019	BI	12016	R07648
12023	BI	12020	R03909
12027	BI	12024	R03075
12031	BI	12028	R02284
12039	BI	12036	R04185
12043	BI	12040	R04186
12047	BI	12044	R01369
12051	BI	12048	R02990
12055	BI	12052	R02306
12059	BI	12056	R01825
12067	BI	12064	R02401
12071	BI	12068	R01625
12075	BI	12072	R07309
12079	BI	12076	R01487
12083	BI	12080	R10707
12087	BI	12084	R00868
12091	BI	12088	R01497
12095	BI	12092	R02949
12099	BI	12096	R07303
12103	BI	12100	R09696
12107	BI	12104	R02101
12111	BI	12108	R04718
12115	BI	12112	R01972
12119	BI	12116	R07182
12123	BI	12120	R00948
12127	BI	12124	R02416
12131	BI	12128	R00021
12139	BI	12136	R04319
12143	BI	12140	R05806
12147	BI	12144	R06819
12155	BI	12152	R05387
12163	BI	12160	R04049
12167	BI	12164	R01242
12171	BI	12168	R03572
12175	BI	12172	R00765
12179	BI	12176	R04033
12183	BI	12180	R00984
12187	BI	12184	R03707
12191	BI	12188	R01940
12195	BI	12192	R11831
12199	BI	12196	R00761
12203	BI	12200	R07185
12207	BI	12204	R10791
12211	BI	12208	R04141
12215	BI	12212	R05350
12219	BI	12216	R05349
12223	BI	12220	R01088
12231	BI	12228	R00578
12235	BI	12232	R07226
12239	BI	12236	R01720
12243	BI	12240	R07253
12251	BI	12248	R03192
12255	BI	12252	R02595
12259	BI	12256	R00732
12263	BI	12260	R00105
12267	BI	12264	R07224
12271	BI	12268	R10064
12275	BI	12272	R02080
12279	BI	12276	R04096
12283	BI	12280	R05803
12287	BI	12284	R02084
12291	BI	12288	R03162
12295	BI	12292	R03662
12299	BI	12296	R05749
12303	BI	12300	R03019
12307	BI	12304	R03103
12311	BI	12308	R03102
12315	BI	12312	R11164
12319	BI	12316	R03363
12323	BI	12320	R05879
12327	BI	12324	R01266
12339	BI	12336	R01336
12343	BI	12340	R11443
12347	BI	12344	R04109
12351	BI	12348	R06990
12355	BI	12352	R03184
12359	BI	12356	R00772
12363	BI	12360	R04205
12367	BI	12364	R07361
12371	BI	12368	R07153
12375	BI	12372	R03893
12379	BI	12376	R03241
12383	BI	12380	R02293
12387	BI	12384	R00975
12391	BI	12388	R06560
12399	BI	12396	R07150
12403	BI	12400	R02322
12407	BI	12404	R00503
12411	BI	12408	R10054
12415	BI	12412	R01511
12419	BI	12416	R03046
12423	BI	12420	R03236
12427	BI	12424	R05758
12431	BI	12428	R05399
12435	BI	12432	R04613
12439	BI	12436	R01944
12443	BI	12440	R00715
12447	BI	12444	R02463
12451	BI	12448	R02474
12455	BI	12452	R03479
12459	BI	12456	R02921
12463	BI	12460	R01082
12467	BI	12464	R01192
12475	BI	12472	R05863
12479	BI	12476	R00525
12483	BI	12480	R02271
12487	BI	12484	R07297
12491	BI	12488	R01544
12495	BI	12492	R00655
12503	BI	12500	R04340
12507	BI	12504	R04339
12511	BI	12508	R03554
12515	BI	12512	R00359
12519	BI	12516	R07649
12527	BI	12524	R02203
12535	BI	12532	R04541
12539	BI	12536	R00691
12543	BI	12540	R03038
12547	BI	12544	R05224
12551	BI	12548	R06954
12555	BI	12552	R02505
12559	BI	12556	R02035
12563	BI	12560	R05769
12567	BI	12564	R03475
12571	BI	12568	R03023
12575	BI	12572	R07302
12579	BI	12576	R04491
12583	BI	12580	R01683
12587	BI	12584	R04166
12591	BI	12588	R04584
12596	BI	12593	R01801
12600	BI	12597	R08938
12604	BI	12601	R01939
12608	BI	12605	R05636
12612	BI	12609	R08236
12616	BI	12613	R01109
12620	BI	12617	R08967
12624	BI	12621	R00397
12628	BI	12625	R03323
12632	BI	12629	R03812
12636	BI	12633	R05621
12640	BI	12637	R03380
12644	BI	12641	R01513
12648	BI	12645	R07161
12652	BI	12649	R03942
12656	BI	12653	R00214
12660	BI	12657	R04729
12664	BI	12661	R01923
12668	BI	12665	R04348
12672	BI	12669	R03450
12676	BI	12673	R02826
12680	BI	12677	R03907
12684	BI	12681	R02922
12688	BI	12685	R05716
12692	BI	12689	R05715
12696	BI	12693	R04091
12700	BI	12697	R02090
12704	BI	12701	R04315
12708	BI	12705	R04190
12712	BI	12709	R03362
12716	BI	12713	R03258
12720	BI	12717	R03478
12724	BI	12721	R01920
12728	BI	12725	R02896
12732	BI	12729	R12003
12736	BI	12733	R03348
12740	BI	12737	R02825
12744	BI	12741	R00123
12748	BI	12745	R03708
12752	BI	12749	R03247
12756	BI	12753	R01039
12760	BI	12757	R05702
12764	BI	12761	R05180
12768	BI	12765	R01196
12772	BI	12769	R01742
12776	BI	12773	R05468
12780	BI	12777	R02816
12788	BI	12785	R02819
12792	BI	12789	R02820
12796	BI	12793	R05799
12800	BI	12797	R03737
12804	BI	12801	R03744
12808	BI	12805	R04716
12812	BI	12809	R00080
12816	BI	12813	R00260
12820	BI	12817	R02954
12824	BI	12821	R01066
12828	BI	12825	R07227
12832	BI	12829	R03696
12836	BI	12833	R01581
12840	BI	12837	R01021
12844	BI	12841	R01712
12848	BI	12845	R09722
12852	BI	12849	R03151
12856	BI	12853	R04296
12860	BI	12857	R00262
12864	BI	12861	R02145
12868	BI	12865	R03885
12872	BI	12869	R02013
12880	BI	12877	R07183
12884	BI	12881	R05328
12888	BI	12885	R04082
12892	BI	12889	R02640
12896	BI	12893	R02265
12900	BI	12897	R07202
12904	BI	12901	R02458
12908	BI	12905	R00883
12912	BI	12909	R03071
12916	BI	12913	R07770
12920	BI	12917	R03820
12924	BI	12921	R00830
12932	BI	12929	R00271
12936	BI	12933	R02262
12940	BI	12937	R01318
12944	BI	12941	R05985
12948	BI	12945	R07311
12952	BI	12949	R03671
12960	BI	12957	R00628
12964	BI	12961	R01365
12968	BI	12965	R01980
12972	BI	12969	R00857
12976	BI	12973	R00127
12980	BI	12977	R01882
12984	BI	12981	R08678
12988	BI	12985	R05988
12992	BI	12989	R01328
12996	BI	12993	R09252
13000	BI	12997	R03727
13004	BI	13001	R07583
13008	BI	13005	R04713
13012	BI	13009	R01959
13016	BI	13013	R02791
13020	BI	13017	R00966
13024	BI	13021	R05274
13032	BI	13029	R01203
13036	BI	13033	R03240
13040	BI	13037	R00088
13044	BI	13041	R03673
13048	BI	13045	R06291
13052	BI	13049	R01482
13056	BI	13053	R00692
13060	BI	13057	R02597
13064	BI	13061	R11946
13068	BI	13065	R00086
13072	BI	13069	R01468
13076	BI	13073	R03409
13080	BI	13077	R03841
13084	BI	13081	R01076
13088	BI	13085	R04364
13092	BI	13089	R05712
13096	BI	13093	R01500
13100	BI	13097	R10208
13104	BI	13101	R02914
13108	BI	13105	R01043
13112	BI	13109	R04046
13116	BI	13113	R04047
13120	BI	13117	R03134
13124	BI	13121	R02412
13128	BI	13125	R01111
13132	BI	13129	R05324
13136	BI	13133	R01018
13140	BI	13137	R05760
13144	BI	13141	R01181
13148	BI	13145	R10829
13152	BI	13149	R00282
13156	BI	13153	R01749
13160	BI	13157	R01750
13164	BI	13161	R01465
13168	BI	13165	R07348
13172	BI	13169	R01087
13176	BI	13173	R05746
13180	BI	13177	R05378
13188	BI	13185	R00084
13192	BI	13189	R03467
13196	BI	13193	R07405
13200	BI	13197	R05775
13204	BI	13201	R00565
13208	BI	13205	R08845
13212	BI	13209	R00295
13216	BI	13213	R00714
13220	BI	13217	R00713
13224	BI	13221	R02246
13236	BI	13233	R02147
13240	BI	13237	R00768
13244	BI	13241	R03161
13248	BI	13245	R00479
13252	BI	13249	R05689
13256	BI	13253	R03428
13264	BI	13261	R03173
13268	BI	13265	R03477
13272	BI	13269	R01498
13276	BI	13273	R04643
13280	BI	13277	R09592
13284	BI	13281	R04203
13288	BI	13285	R00894
13292	BI	13289	R01007
13296	BI	13293	R02224
13300	BI	13297	R02223
13304	BI	13301	R02693
13308	BI	13305	R02380
13312	BI	13309	R05699
13316	BI	13313	R00610
13320	BI	13317	R01751
13324	BI	13321	R01211
13328	BI	13325	R00421
13332	BI	13329	R03748
13336	BI	13333	R02730
13340	BI	13337	R01484
13344	BI	13341	R12238
13348	BI	13345	R09844
13352	BI	13349	R05759
13356	BI	13353	R11621
13360	BI	13357	R01608
13364	BI	13361	R00856
13372	BI	13369	R08199
13376	BI	13373	R04350
13380	BI	13377	R00949
13384	BI	13381	R00393
13388	BI	13385	R03747
13392	BI	13389	R02488
13396	BI	13393	R01724
13400	BI	13397	R05099
13404	BI	13401	R03265
13408	BI	13405	R01617
13412	BI	13409	R07605
13416	BI	13413	R01568
13420	BI	13417	R03787
13424	BI	13421	R02769
13428	BI	13425	R02171
13432	BI	13429	R05633
13436	BI	13433	R02485
13440	BI	13437	R02256
13444	BI	13441	R07634
13448	BI	13445	R02973
13452	BI	13449	R08198
13456	BI	13453	R02159
13460	BI	13457	R01701
13468	BI	13465	R04211
13472	BI	13469	R01413
13476	BI	13473	R00675
13480	BI	13477	R00676
13484	BI	13481	R03659
13488	BI	13485	R04338
13492	BI	13489	R02880
13500	BI	13497	R05661
13504	BI	13501	R04385
13508	BI	13505	R01022
13512	BI	13509	R00416
13516	BI	13513	R01869
