Amino acid;Transport type;Direction;ID
gly_c;sym_proton;in;GLYt
gly_c;passive;out;GLYt2
ala__L_c;passive;out;ALAt2
ala__L_c;sym_proton;in;ALAt
val__L_c;sym_proton;rev;VALt
val__L_c;abc;in;VALtabc
leu__L_c;abc;in;LEUtabc
leu__L_c;sym_proton;rev;LEUt
ile__L_c;anti_proton;out;ILEt
ile__L_c;abc;in;ILEtabc
ile__L_c;sym_proton;in;ILEt2
ser__L_c;sym_proton;out;SERt
ser__L_c;passive;in;SERt2
thr__L_c;anti_proton;out;THRt
thr__L_c;sym_proton;in;THRt2
phe__L_c;passive;out;PHEt
phe__L_c;sym_proton;in;PHEt2
tyr__L_c;passive;out;TYRt
tyr__L_c;sym_proton;in;TYRt2
trp__L_c;sym_proton;in;TRPt
trp__L_c;passive;out;TRPt2
cys__L_c;abc;in;CYStabc
cys__L_c;passive;out;CYSt
met__L_c;abc;in;METabc
met__L_c;sym_proton;out;METt2
lys__L_c;anti_proton;out;LYSt
lys__L_c;abc;in;LYStabc
arg__L_c;abc;in;ARGtabc
arg__L_c;sym_proton;in;ARGt
arg__L_c;anti_proton;out;ARGt2
his__L_c;sym_proton;rev;HISt
his__L_c;abc;in;HIStabc
asp__L_c;abc;in;ASPtabc
asp__L_c;sym_proton;in;ASPt
asp__L_c;passive;out;ASPt2
glu__L_c;abc;in;GLUtabc
glu__L_c;sym_proton;rev;GLUt
asn__L_c;sym_proton;rev;ASNt
gln__L_c;abc;in;GLNtabc
gln__L_c;passive;out;GLNt
pro__L_c;sym_proton;rev;PROt
pro__L_c;abc;in;PROtabc
