,0
0,NCIMB_gene_2001
1,NCIMB_gene_3510
2,NCIMB_gene_2037
3,gene_3
4,gene_4
5,gene_5
6,NCIMB_gene_2475
7,gene_7
8,gene_8
9,gene_9
10,gene_10
11,NCIMB_gene_2409
12,gene_12
13,gene_13
14,gene_14
15,gene_15
16,gene_16
17,gene_17
18,gene_18
19,gene_19
20,gene_20
21,NCIMB_gene_683
22,NCIMB_gene_686
23,gene_23
24,gene_24
25,NCIMB_gene_702
26,NCIMB_gene_965
27,NCIMB_gene_1877
28,NCIMB_gene_1876
29,NCIMB_gene_1875
30,NCIMB_gene_1874
31,NCIMB_gene_822
32,NCIMB_gene_1087
33,gene_33
34,gene_34
35,gene_35
36,NCIMB_gene_3731
37,gene_37
38,NCIMB_gene_2973
39,gene_39
40,gene_40
41,gene_41
42,NCIMB_gene_1473
43,NCIMB_gene_1474
44,NCIMB_gene_1475
45,NCIMB_gene_1476
46,NCIMB_gene_1477
47,NCIMB_gene_1478
48,NCIMB_gene_1479
49,NCIMB_gene_1480
50,NCIMB_gene_1481
51,NCIMB_gene_1482
52,NCIMB_gene_1483
53,NCIMB_gene_1484
54,NCIMB_gene_1485
55,NCIMB_gene_1486
56,NCIMB_gene_1487
57,NCIMB_gene_1488
58,NCIMB_gene_1489
59,NCIMB_gene_1490
60,NCIMB_gene_1491
61,NCIMB_gene_1492
62,NCIMB_gene_1493
63,NCIMB_gene_1494
64,NCIMB_gene_1495
65,NCIMB_gene_1496
66,NCIMB_gene_1497
67,NCIMB_gene_1498
68,NCIMB_gene_1499
69,NCIMB_gene_1500
70,NCIMB_gene_1500
71,NCIMB_gene_1501
72,NCIMB_gene_1502
73,NCIMB_gene_1503
74,NCIMB_gene_1504
75,NCIMB_gene_1505
76,NCIMB_gene_1506
77,NCIMB_gene_1507
78,NCIMB_gene_1508
79,NCIMB_gene_1509
80,NCIMB_gene_1510
81,NCIMB_gene_1511
82,NCIMB_gene_1512
83,NCIMB_gene_1513
84,NCIMB_gene_1514
85,NCIMB_gene_1515
86,NCIMB_gene_1516
87,NCIMB_gene_1517
88,NCIMB_gene_1518
89,NCIMB_gene_1519
90,NCIMB_gene_1519
91,NCIMB_gene_1520
92,NCIMB_gene_1521
93,NCIMB_gene_1522
94,NCIMB_gene_1522
95,NCIMB_gene_1522
96,NCIMB_gene_1523
97,gene_97
98,gene_98
99,gene_99
100,gene_100
101,NCIMB_gene_822
102,NCIMB_gene_811
103,NCIMB_gene_280
104,gene_104
105,NCIMB_gene_3731
106,NCIMB_gene_3729
107,gene_107
108,NCIMB_gene_2409
109,gene_109
110,NCIMB_gene_2470
111,gene_111
112,gene_112
113,gene_113
114,NCIMB_gene_3106
115,NCIMB_gene_3106
116,NCIMB_gene_307
117,NCIMB_gene_3106
118,gene_118
119,gene_119
120,gene_120
121,gene_121
122,NCIMB_gene_1032
123,NCIMB_gene_1031
124,NCIMB_gene_1030
125,NCIMB_gene_1029
126,NCIMB_gene_1028
127,NCIMB_gene_1027
128,NCIMB_gene_1026
129,NCIMB_gene_1025
130,NCIMB_gene_1024
131,NCIMB_gene_1023
132,NCIMB_gene_1022
133,NCIMB_gene_1021
134,NCIMB_gene_1020
135,NCIMB_gene_1019
136,NCIMB_gene_1018
137,NCIMB_gene_1017
138,NCIMB_gene_1016
139,NCIMB_gene_1015
140,NCIMB_gene_1014
141,NCIMB_gene_1013
142,NCIMB_gene_1012
143,NCIMB_gene_1012
144,NCIMB_gene_1011
145,NCIMB_gene_1010
146,NCIMB_gene_1009
147,NCIMB_gene_1008
148,NCIMB_gene_1007
149,NCIMB_gene_1005
150,NCIMB_gene_270
151,NCIMB_gene_269
152,NCIMB_gene_268
153,NCIMB_gene_266
154,gene_154
155,NCIMB_gene_264
156,NCIMB_gene_263
157,NCIMB_gene_262
158,NCIMB_gene_261
159,NCIMB_gene_260
160,NCIMB_gene_259
161,NCIMB_gene_258
162,NCIMB_gene_257
163,NCIMB_gene_256
164,NCIMB_gene_255
165,NCIMB_gene_254
166,NCIMB_gene_253
167,NCIMB_gene_252
168,NCIMB_gene_251
169,NCIMB_gene_250
170,NCIMB_gene_249
171,NCIMB_gene_248
172,NCIMB_gene_247
173,NCIMB_gene_246
174,NCIMB_gene_245
175,NCIMB_gene_244
176,NCIMB_gene_243
177,NCIMB_gene_242
178,NCIMB_gene_241
179,NCIMB_gene_240
180,NCIMB_gene_239
181,NCIMB_gene_238
182,NCIMB_gene_237
183,NCIMB_gene_236
184,NCIMB_gene_235
185,NCIMB_gene_234
186,NCIMB_gene_233
187,NCIMB_gene_232
188,NCIMB_gene_231
189,NCIMB_gene_230
190,NCIMB_gene_229
191,NCIMB_gene_228
192,NCIMB_gene_227
193,gene_193
194,NCIMB_gene_226
195,gene_195
196,NCIMB_gene_287
197,NCIMB_gene_791
198,gene_198
199,NCIMB_gene_1696
200,NCIMB_gene_210
201,NCIMB_gene_2397
202,gene_202
203,NCIMB_gene_3001
204,NCIMB_gene_221
205,gene_205
206,gene_206
207,NCIMB_gene_1331
208,gene_208
209,NCIMB_gene_1332
210,NCIMB_gene_1333
211,NCIMB_gene_1334
212,gene_212
213,NCIMB_gene_1245
214,gene_214
215,NCIMB_gene_2037
216,NCIMB_gene_2036
217,NCIMB_gene_2035
218,NCIMB_gene_2034
219,NCIMB_gene_2033
220,NCIMB_gene_2032
221,NCIMB_gene_2031
222,NCIMB_gene_2030
223,NCIMB_gene_2029
224,NCIMB_gene_2028
225,NCIMB_gene_2027
226,NCIMB_gene_2026
227,NCIMB_gene_2025
228,NCIMB_gene_2024
229,NCIMB_gene_2023
230,NCIMB_gene_2022
231,NCIMB_gene_2021
232,NCIMB_gene_2020
233,NCIMB_gene_2019
234,NCIMB_gene_2018
235,NCIMB_gene_2017
236,NCIMB_gene_2016
237,NCIMB_gene_2015
238,NCIMB_gene_2014
239,NCIMB_gene_2013
240,NCIMB_gene_2012
241,NCIMB_gene_2011
242,NCIMB_gene_2010
243,NCIMB_gene_2009
244,NCIMB_gene_2007
245,NCIMB_gene_2006
246,NCIMB_gene_2005
247,gene_247
248,NCIMB_gene_2004
249,NCIMB_gene_2004
250,NCIMB_gene_2003
251,NCIMB_gene_2002
252,NCIMB_gene_1467
253,NCIMB_gene_1468
254,gene_254
255,NCIMB_gene_1469
256,NCIMB_gene_1470
257,NCIMB_gene_1471
258,NCIMB_gene_1472
259,NCIMB_gene_1473
260,NCIMB_gene_2909
261,NCIMB_gene_2908
262,NCIMB_gene_2908
263,NCIMB_gene_2907
264,gene_264
265,gene_265
266,NCIMB_gene_1071
267,gene_267
268,NCIMB_gene_2805
269,NCIMB_gene_2804
270,NCIMB_gene_2803
271,NCIMB_gene_2802
272,NCIMB_gene_2801
273,NCIMB_gene_2800
274,NCIMB_gene_2799
275,NCIMB_gene_2798
276,NCIMB_gene_2797
277,NCIMB_gene_2796
